UID         PID   PPID  C STIME TTY          TIME CMD
neozeus    2165   2002  0 16:17 ?        00:00:01 /usr/lib/unity/unity-panel-service
neozeus    2169   2162  0 16:17 ?        00:00:00 /bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
neozeus    2172   2002  0 16:17 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
neozeus    2181   2002  0 16:17 ?        00:00:00 upstart-dbus-bridge --daemon --session --user --bus-name session
neozeus    2182   2002  0 16:17 ?        00:00:00 upstart-dbus-bridge --daemon --system --user --bus-name system
neozeus    2183   2002  0 16:17 ?        00:00:00 upstart-file-bridge --daemon --user
neozeus    2189   2002  0 16:17 ?        00:00:00 /usr/lib/gvfs/gvfsd
neozeus    2193   2002  0 16:17 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
neozeus    2197   2125  0 16:17 ?        00:00:00 /usr/lib/ibus/ibus-dconf
neozeus    2205   2125  0 16:17 ?        00:00:00 /usr/lib/ibus/ibus-ui-gtk3
neozeus    2214   2002  0 16:17 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
neozeus    2223   2002  0 16:17 ?        00:00:00 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
neozeus    2231   2002  0 16:17 ?        00:00:00 /usr/lib/dconf/dconf-service
neozeus    2242   2002  2 16:17 ?        00:04:11 /usr/bin/pulseaudio --start --log-target=syslog
neozeus    2244   2125  0 16:17 ?        00:00:00 /usr/lib/ibus/ibus-engine-simple
neozeus    2262   2002  0 16:17 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard-service --use-gtk
neozeus    2271   2002  0 16:17 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
neozeus    2275   2002  0 16:17 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
neozeus    2277   2002  0 16:17 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
neozeus    2279   2002  0 16:17 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
neozeus    2283   2002  0 16:17 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
neozeus    2286   2002  0 16:17 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
neozeus    2303   2002  0 16:19 ?        00:00:00 /usr/lib/x86_64-linux-gnu/notify-osd
neozeus    2307   2002  0 16:19 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
neozeus    2314   2002  0 16:19 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
neozeus    2331   2002  0 16:19 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
neozeus    2387   2002  0 16:19 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
neozeus    2413   2163  0 16:20 ?        00:01:51 compiz
neozeus    2423   2163  0 16:20 ?        00:00:01 nautilus -n
neozeus    2428   2002  0 16:20 ?        00:00:17 /usr/bin/vmtoolsd -n vmusr
neozeus    2429   2163  0 16:20 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
neozeus    2430   2163  0 16:20 ?        00:00:00 nm-applet
neozeus    2431   2163  0 16:20 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
neozeus    2444   2002  0 16:20 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
neozeus    2453   2002  0 16:20 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
